Day,Parent_organisation,Customer,Customer_Id,SIM_State,Sum_Bytes_upload,Sum_Bytes_download,Sum_Total_Kbytes,Nr._of_Voice_calls,Nr._of_SMS_MO,Nr._of_SMS_payload,Nr._of_SMS_transactional,Nr._of_Transactional_SMS_enh.,Nr._of_SMS_wakeup,Nr._of_SMS_P2P_MO,Nr._of_SMS_P2P_MT,Total_Nr._of_SMS,Nr._of_PS_sessions,Sum_Total_Duration,Nr._of_SIMs
2023-02-27,VFCZ,HARDWARIO,100217240,Active.Live,"26,791,576","6,285","26,170",0,0,0,0,0,0,0,0,0,"1,832",0,796
2023-02-28,VFCZ,HARDWARIO,100217240,Active.Live,"25,426,715","4,725","24,835",0,0,0,0,0,0,0,0,0,"1,548",0,804
2023-03-01,VFCZ,HARDWARIO,100217240,Active.Live,"23,121,532","688,364","23,252",0,0,0,0,0,0,0,0,0,"2,995",0,804
2023-03-02,VFCZ,HARDWARIO,100217240,Active.Live,"21,702,510","1,763,890","22,916",0,0,0,0,0,0,0,0,0,"12,234",0,766
2023-03-03,VFCZ,HARDWARIO,100217240,Active.Live,"20,650,682","2,707,315","22,811",0,0,0,0,0,0,0,0,0,"10,062",0,756
2023-03-04,VFCZ,HARDWARIO,100217240,Active.Live,"22,790,184","1,706,629","23,923",0,0,0,0,0,0,0,0,0,"10,874",0,751
2023-03-05,VFCZ,HARDWARIO,100217240,Active.Live,"24,232,346","1,888,306","25,508",0,0,0,0,0,0,0,0,0,"11,504",0,747
2023-03-06,VFCZ,HARDWARIO,100217240,Active.Live,"24,283,053","2,362,945","26,021",0,0,0,0,0,0,0,0,0,"13,351",0,748
2023-03-07,VFCZ,HARDWARIO,100217240,Active.Live,"22,774,825","3,707,831","25,862",0,0,0,0,0,0,0,0,0,"3,514",0,753
2023-03-08,VFCZ,HARDWARIO,100217240,Active.Live,"31,032,993","9,126,931","39,219",0,0,0,0,0,0,0,0,0,"1,899",0,754
2023-03-09,VFCZ,HARDWARIO,100217240,Active.Live,"24,219,676","6,692,287","30,187",0,0,0,0,0,0,0,0,0,"1,472",0,755
2023-03-10,VFCZ,HARDWARIO,100217240,Active.Live,"28,525,454","7,419,921","35,103",0,0,0,0,0,0,0,0,0,"2,009",0,758
2023-03-11,VFCZ,HARDWARIO,100217240,Active.Live,"28,439,392","6,311,376","33,936",0,0,0,0,0,0,0,0,0,"2,477",0,758
2023-03-12,VFCZ,HARDWARIO,100217240,Active.Live,"30,448,625","7,016,833","36,587",0,0,0,0,0,0,0,0,0,"3,000",0,732
2023-03-13,VFCZ,HARDWARIO,100217240,Active.Live,"33,715,369","8,041,404","40,778",0,0,0,0,0,0,0,0,0,"2,328",0,742
2023-03-14,VFCZ,HARDWARIO,100217240,Active.Live,"28,250,876","3,809,913","31,309",0,0,0,0,0,0,0,0,0,"1,933",0,747
2023-03-15,VFCZ,HARDWARIO,100217240,Active.Live,"29,787,050","4,908,344","33,882",0,0,0,0,0,0,0,0,0,"2,635",0,747
2023-03-16,VFCZ,HARDWARIO,100217240,Active.Live,"25,207,572","4,869,760","29,372",0,0,0,0,0,0,0,0,0,"3,101",0,741
2023-03-17,VFCZ,HARDWARIO,100217240,Active.Live,"28,096,398","4,771,724","32,098",0,0,0,0,0,0,0,0,0,"2,519",0,745
2023-03-18,VFCZ,HARDWARIO,100217240,Active.Live,"26,022,342","3,784,676","29,108",0,0,0,0,0,0,0,0,0,"1,347",0,747
2023-03-19,VFCZ,HARDWARIO,100217240,Active.Live,"25,305,756","2,583,490","27,236",0,0,0,0,0,0,0,0,0,"1,475",0,740
2023-03-20,VFCZ,HARDWARIO,100217240,Active.Live,"26,363,746","3,174,159","28,846",0,0,0,0,0,0,0,0,0,"1,484",0,736
2023-03-21,VFCZ,HARDWARIO,100217240,Active.Live,"31,201,758","4,750,643","35,110",0,0,0,0,0,0,0,0,0,"1,450",0,740
2023-03-22,VFCZ,HARDWARIO,100217240,Active.Live,"29,170,780","5,837,547","34,188",0,0,0,0,0,0,0,0,0,"1,646",0,746
